Date,Open,High,Low,Close,Adj_Close,Volume,fast_ema,slow_ema,ema_signal,trend_ema,trend_signal,macd_hist,macd_z,don_upper,don_lower,don_signal,roc,roc_signal,atr_val,realised_vol,vol_regime,raw_signal,smooth_signal,target_position,position,vol_scalar,asset_return,strategy_return,turnover,strategy_return_net,cum_asset,cum_strategy
2004-11-18,44.32372299923433,44.43147017699411,44.109631949254045,44.4,44.4,17615694,44.4,44.4,0.0,44.4,0.0,0.0,,,,0.0,,,0.32183822774006643,,1.0,0.0,,0.0,,,,,,,,
2004-11-19,44.56409913808191,44.667091057288026,44.513048863992736,44.63683544773185,44.63683544773185,30656638,44.467667270780524,44.4100781041588,0.12895388233204763,44.40163334791539,0.10554840076877221,0.015114284983462766,,,,0.0,,,0.3166242115065389,,1.0,0.048070730698327735,,0.0,,,0.005334131705672318,,,,1.0053341317056723,
2004-11-22,44.55664324127549,44.75064644910936,44.2261915575266,44.58822966614389,44.58822966614389,38711907,44.502113669455774,44.417659021690085,0.18787890211067287,44.40292021907559,0.08327394024623583,0.020658954262974018,,,,0.0,,,0.3364176096090365,,1.0,0.05946081656460359,,0.0,0.0,2.0,-0.0010889163871142804,,,,1.0042394068951328,
2004-11-23,44.88882728011709,45.04008615698414,44.72563954347075,44.89695336489947,44.89695336489947,13688054,44.61492501101112,44.43805452565645,0.37824993885957775,44.40632734421921,0.2174435575362004,0.04267175980081424,,,,0.0,,,0.34741178877391393,,1.0,0.1271790183453245,,0.0,0.0,2.0,0.0069238832998563815,0.0,0.0,0.0,1.0111926433535916,1.0
2004-11-24,45.56611894562814,45.68261412013067,45.41314960407365,45.62358409028281,45.62358409028281,20159796,44.903113319374455,44.488502592236294,0.7315018880018759,44.41472221832999,0.49627510346826337,0.10042511902400092,,,,0.0,,,0.38914978557937024,,1.0,0.2573167375207085,,0.0,0.0,2.0,0.016184410542908312,0.0,0.0,0.0,1.0275582002315948,1.0
2004-11-25,45.6389691991155,45.79002647765097,45.48962915057455,45.51793587236929,45.51793587236929,58588690,45.07877690594441,44.53230826373132,0.8417443976119864,44.422330588357845,0.45680619843253484,0.12420945139818831,,,,0.0,,,0.38069717048385093,,1.0,0.2789570291678768,0.12849738871614017,0.0,0.0,2.0,-0.0023156492419459385,-0.0,0.0,-0.0,1.0251787358641733,1.0
2004-11-26,45.46061994642329,45.75851344929289,45.05072411205943,45.41360398880878,45.41360398880878,15666366,45.1744417867628,44.5698102094793,0.8756008420947159,44.42916695663682,0.41625123379785955,0.1252567487465126,,,,0.0,,,0.41184880541238555,,1.0,0.2813378955933579,0.17538703798169983,0.0,0.0,2.0,-0.0022921048936194177,-0.0,0.0,-0.0,1.0228289186668644,1.0
2004-11-29,46.23104509015515,46.345478380088664,46.17875370596961,46.22884720207655,46.22884720207655,25140781,45.475700476852445,44.640407528313226,0.9536990695137009,44.4415785445364,0.6664464999798706,0.17039766088987313,,,,0.0,,,0.4613750516854806,,1.0,0.3383917423754058,0.22377387326121287,1.0,1.5,1.724666286225793,0.017951519845653907,0.0,1.5,0.0,1.0411902522990213,1.0
2004-11-30,46.63152703769481,46.81984556857556,46.34298996925565,46.67363146522948,46.67363146522948,5002024,45.8179664735316,44.72692769584158,0.9849005581451636,44.45697201295497,0.7604223261060297,0.2167790398713785,,,,0.0,,,0.47372012928676893,,1.0,0.36028848845219535,0.2739118185758115,1.0,1.5,1.8883014248308032,0.009621357443949874,0.01443203616592481,0.0,0.01368203616592481,1.0512079158835466,1.013682036165925
2004-12-01,46.45422861224581,46.7099942008672,46.33751779382172,46.4222776776514,46.4222776776514,9928229,45.990626817565825,44.79907024825902,0.9902578666682706,44.470525845125294,0.7053020106344351,0.21658654353339735,,,,0.0,,,0.46407787002569406,,1.0,0.3533597682622329,0.31160861022862957,1.0,1.5,1.7541682660109843,-0.005385348850888705,-0.007272412658395047,0.0,-0.007272412658395047,1.045546794541698,1.006310122094524
