name,total_return_pct,cagr_pct,ann_volatility_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,avg_win_pct,avg_loss_pct,num_trades,years,score,fast_ema,slow_ema,trend_ema,donchian_window,roc_period,signal_smooth,long_threshold,vol_target,dd_limit,min_holding,transaction_cost_bps,short_threshold
opt,6549.15506925541,20.586477867861586,8.662568716302575,2.376486529811733,4.055156623480226,-8.750882128293112,2.3525031609444205,29.25663716814159,1.7277268055353259,0.6150353086348653,-0.18127975922502068,4779,22.42063492063492,2.479418919151041,5,30,200,20,40,3,0.2,0.16,0.1,5,5.0,-0.2
opt,6679.964792543491,20.69130546062734,8.881211272046704,2.3297841732188593,4.106359240918209,-7.858651623463269,2.6329332883073886,30.07079646017699,1.6898529443493757,0.6208274093015114,-0.1730010822041895,5179,22.42063492063492,2.433240700521996,5,30,150,20,40,5,0.1,0.16,0.1,5,5.0,-0.1
opt,5624.11359827684,19.78347239666347,8.521812747481828,2.3215098691894434,3.923495515019278,-8.770675917312948,2.2556382863961173,29.1858407079646,1.712978326041847,0.6016756407159903,-0.18010060707376427,4744,22.42063492063492,2.4204272311727606,5,30,200,20,40,3,0.2,0.16,0.1,3,5.0,-0.2
opt,5890.337803602653,20.02659185440927,8.633077408930497,2.319751220311397,4.117034304799895,-7.75019889274327,2.5840100533627255,29.451327433628315,1.7080313875849755,0.6055860719839637,-0.16288643074746625,5158,22.42063492063492,2.419884179583443,5,30,200,20,40,5,0.1,0.16,0.1,5,5.0,-0.1
opt,5392.558460497032,19.56306243498773,8.49360202363499,2.3032704358586567,3.938425850139939,-6.471750765557646,3.0228392816208918,28.14159292035398,1.7295868302111848,0.6094670350538014,-0.16734761438587165,4829,22.42063492063492,2.401085748033595,10,30,150,20,40,5,0.2,0.16,0.1,5,5.0,-0.2
opt,5708.61764104752,19.861792638155595,8.651936949992367,2.2956469462220386,4.067863821119729,-4.996375765933145,3.9752399676540584,29.53982300884956,1.6895048763610234,0.6088003187407955,-0.1643650017625847,5207,22.42063492063492,2.3949559094128166,10,30,200,20,40,5,0.1,0.16,0.1,5,5.0,-0.1
opt,5319.69440043664,19.491866502388188,8.48823775055475,2.296338424440844,3.895849568679578,-8.78080299879655,2.2198273329967244,28.442477876106192,1.723191483447883,0.6041083997970987,-0.16979340979692437,4802,22.42063492063492,2.3937977569527846,5,30,150,20,40,3,0.2,0.16,0.1,5,5.0,-0.2
opt,5967.857278306641,20.09544417729192,8.767389619289052,2.292066972030092,4.040675988496669,-7.95568411452743,2.5259228355480774,29.43362831858407,1.6861683236398783,0.6195421779037311,-0.16860638303281061,5158,22.42063492063492,2.3925441929165516,5,30,150,20,40,5,0.1,0.16,0.1,3,5.0,-0.1
opt,5663.813179774429,19.820403469768877,8.643155947116805,2.2931905418622685,4.067078200786221,-5.182607622528496,3.824407501662045,29.292035398230087,1.691038461827073,0.6119728426040403,-0.1632853928934205,5202,22.42063492063492,2.392292559211113,10,30,200,20,40,5,0.1,0.16,0.1,3,5.0,-0.1
opt,5257.88563723954,19.43075219312076,8.479646315393582,2.2914578592561123,3.936851168760852,-9.093531632560302,2.1367663277869955,28.690265486725664,1.7112228074747342,0.603012029709478,-0.16894963593242174,4886,22.42063492063492,2.3886116202217162,10,30,150,20,60,3,0.2,0.16,0.1,5,5.0,-0.2
opt,5434.120640197055,19.603269999665194,8.56043965503546,2.289984018301452,3.8779833224312266,-8.96153635821294,2.18748986960249,28.637168141592923,1.711102688762052,0.6092344668843235,-0.17446561262958438,4810,22.42063492063492,2.388000368299778,10,30,200,20,40,3,0.2,0.16,0.1,3,5.0,-0.2
opt,5197.828024157294,19.37072069111283,8.464525343832516,2.2884591757087556,3.896841631247342,-8.307295472421101,2.331772206179561,28.106194690265486,1.7241867267599338,0.6073684328803985,-0.1680873767118112,4809,22.42063492063492,2.3853127791643196,10,30,150,20,40,5,0.2,0.16,0.1,3,5.0,-0.2
opt,5127.137165467938,19.299221862250082,8.44321343039324,2.2857673824492233,3.8704890157392113,-4.447558575478015,4.33928447140819,30.035398230088497,1.6958482830961115,0.5797932527696794,-0.17923602503764,4805,22.42063492063492,2.3822634917604737,20,50,150,20,60,5,0.2,0.16,0.1,5,5.0,-0.2
opt,5054.851315732728,19.225148066055464,8.420638493366923,2.283098613151418,4.067318793790845,-5.225408183389311,3.6791667543157605,28.831858407079647,1.7136144670160187,0.5930119646904052,-0.15223612050122592,5208,22.42063492063492,2.3792243534816953,10,30,150,20,40,5,0.1,0.16,0.1,5,5.0,-0.1
opt,5173.451456065801,19.346169022346025,8.488733121879395,2.2790407878982544,4.049554142401659,-7.6657307190307495,2.5237214469740916,28.97345132743363,1.703424102102999,0.5986596173651973,-0.1557853260714517,5219,22.42063492063492,2.3757716330099843,10,30,150,20,40,3,0.1,0.16,0.1,5,5.0,-0.1
opt,5183.844285740009,19.35664973713227,8.497578221945982,2.2779019188245275,4.018554271365542,-7.8160944244009505,2.476511757163914,30.548672566371682,1.6834077157342073,0.5778605592995033,-0.16250168450130908,5247,22.42063492063492,2.3746851675101888,20,30,200,20,60,5,0.1,0.16,0.1,5,5.0,-0.1
opt,5556.099092973013,19.71962847456701,8.670084843867215,2.2744446945655543,3.9930360097154525,-9.086191210890217,2.170285438295876,29.451327433628315,1.6827030951520578,0.6103375132914785,-0.16812079836981858,5140,22.42063492063492,2.3730428369383896,5,30,150,20,40,3,0.1,0.16,0.1,3,5.0,-0.1
opt,4886.15418375234,19.04834308842571,8.363916401340077,2.277443027213156,3.899936836461759,-6.664219162763901,2.858300818625186,29.522123893805308,1.691444953591144,0.5849461647406203,-0.1733288109920579,4874,22.42063492063492,2.3726847426552844,5,30,150,80,40,3,0.1,0.16,0.1,5,5.0,-0.1
opt,5329.4026081586435,19.50140507413338,8.57696935807155,2.2736941523267946,3.898249004507216,-7.558125481904225,2.5801906995092807,28.194690265486727,1.7046081071182835,0.619272414493452,-0.17127136902511805,4861,22.42063492063492,2.3712011776974613,10,30,150,20,60,5,0.2,0.16,0.1,5,5.0,-0.2
opt,5443.242344057756,19.612055788739813,8.633562840968098,2.2716063055308315,3.8624910886640165,-7.265033453847028,2.699513486528367,28.831858407079647,1.6792633871022433,0.6221634756426876,-0.18108040766682826,4856,22.42063492063492,2.3696665844745306,10,50,200,20,60,5,0.2,0.16,0.1,5,5.0,-0.2
opt,5370.595667888914,19.54169792500764,8.609463456838114,2.2697927719858706,3.8754199795858995,-8.456094616504167,2.3109601785754816,28.31858407079646,1.694367838040749,0.6231472999059157,-0.1759166227813573,4839,22.42063492063492,2.367501261610909,10,30,150,20,60,5,0.2,0.16,0.1,3,5.0,-0.2
opt,5018.795404362118,19.187828583586498,8.448147663074543,2.271246828160133,3.8448932462839647,-4.447558575478014,4.31423853288413,29.71681415929204,1.6912148660296882,0.585284807682891,-0.17873194865893838,4802,22.42063492063492,2.3671859710780656,20,50,150,20,60,5,0.2,0.16,0.1,3,5.0,-0.2
opt,5085.549840163601,19.256726374056086,8.481852392276485,2.2703444346179764,4.007268488692387,-7.868234424353933,2.44740120025558,30.30088495575221,1.682715443860717,0.5801884248823649,-0.1618994880512846,5233,22.42063492063492,2.366628066488257,20,30,200,20,60,5,0.1,0.16,0.1,3,5.0,-0.1
opt,4923.979221987247,19.088477806600256,8.407920940727944,2.270297014109127,4.044693681060153,-5.325171102875719,3.5845754883429053,28.584070796460175,1.7105936979199003,0.5957652725172915,-0.15140563020295042,5206,22.42063492063492,2.365739403142128,10,30,150,20,40,5,0.1,0.16,0.1,3,5.0,-0.1
opt,4992.519411599816,19.16047321445964,8.462028844355462,2.2642883363887965,3.8744645960022237,-9.076080791378342,2.111095488777577,28.654867256637168,1.7063866681516593,0.5985368446618168,-0.1687120791597982,4877,22.42063492063492,2.3600907024610946,10,30,200,20,60,3,0.2,0.16,0.1,5,5.0,-0.2
opt,5132.9544074464775,19.305140369170903,8.542298141503931,2.259946919362861,3.9986569749371745,-8.37413944605509,2.3053282660901013,28.3716814159292,1.6989191323344006,0.6126542970633656,-0.1583738355227859,5144,22.42063492063492,2.3564726212087157,5,30,200,20,40,5,0.1,0.16,0.1,3,5.0,-0.1
opt,5435.459338530462,19.604560265112326,8.685978981091901,2.257035195202356,3.9529622233061,-8.651986775986522,2.26590270797969,29.699115044247787,1.6696327020661714,0.609109264816452,-0.16957390351539522,5172,22.42063492063492,2.355057996527918,5,30,200,20,40,3,0.1,0.16,0.1,5,5.0,-0.1
opt,5171.809487848224,19.344511364190954,8.568288429043223,2.257686762576812,3.828932678944673,-7.258929910519885,2.664926043183891,28.654867256637168,1.679502144399962,0.6180143404444772,-0.17885051950494807,4844,22.42063492063492,2.354409319397767,10,50,200,20,60,5,0.2,0.16,0.1,3,5.0,-0.2
opt,4664.583562164332,18.8072333515612,8.323606147273708,2.259505437762847,3.8316869353814558,-6.5016231706630165,2.8926981551967272,28.707964601769913,1.7123281703626898,0.5842527998505086,-0.16997312316601632,4755,22.42063492063492,2.353541604520653,20,50,200,20,40,5,0.2,0.16,0.1,3,5.0,-0.2
